date,name,zone,year
2023-01-01,1er janvier,metropole,2023
2023-04-10,Lundi de Pâques,metropole,2023
2023-05-01,1er mai,metropole,2023
2023-05-08,8 mai,metropole,2023
2023-05-18,Ascension,metropole,2023
2023-05-29,Lundi de Pentecôte,metropole,2023
2023-07-14,14 juillet,metropole,2023
2023-08-15,Assomption,metropole,2023
2023-11-01,Toussaint,metropole,2023
2023-11-11,11 novembre,metropole,2023
2023-12-25,Jour de Noël,metropole,2023
2024-01-01,1er janvier,metropole,2024
2024-04-01,Lundi de Pâques,metropole,2024
2024-05-01,1er mai,metropole,2024
2024-05-08,8 mai,metropole,2024
2024-05-09,Ascension,metropole,2024
2024-05-20,Lundi de Pentecôte,metropole,2024
2024-07-14,14 juillet,metropole,2024
2024-08-15,Assomption,metropole,2024
2024-11-01,Toussaint,metropole,2024
2024-11-11,11 novembre,metropole,2024
2024-12-25,Jour de Noël,metropole,2024
2025-01-01,1er janvier,metropole,2025
2025-04-21,Lundi de Pâques,metropole,2025
2025-05-01,1er mai,metropole,2025
2025-05-08,8 mai,metropole,2025
2025-05-29,Ascension,metropole,2025
2025-06-09,Lundi de Pentecôte,metropole,2025
2025-07-14,14 juillet,metropole,2025
2025-08-15,Assomption,metropole,2025
2025-11-01,Toussaint,metropole,2025
2025-11-11,11 novembre,metropole,2025
2025-12-25,Jour de Noël,metropole,2025
