timestamp_utc,temperature_2m,relative_humidity_2m,precipitation,wind_speed_10m
2023-01-01 00:00:00+00:00,13.9,96,0.0,20.6
2023-01-01 01:00:00+00:00,13.8,96,0.1,17.1
2023-01-01 02:00:00+00:00,13.6,97,0.1,18.9
2023-01-01 03:00:00+00:00,13.6,97,0.0,18.6
2023-01-01 04:00:00+00:00,13.7,97,0.0,18.4
2023-01-01 05:00:00+00:00,13.8,98,0.0,19.0
2023-01-01 06:00:00+00:00,14.0,97,0.1,20.1
2023-01-01 07:00:00+00:00,13.9,98,0.2,20.5
2023-01-01 08:00:00+00:00,13.9,97,0.2,19.7
2023-01-01 09:00:00+00:00,14.3,96,0.2,20.8
2023-01-01 10:00:00+00:00,14.9,93,0.1,22.8
2023-01-01 11:00:00+00:00,15.4,88,0.1,21.9
2023-01-01 12:00:00+00:00,15.0,88,0.3,20.7
2023-01-01 13:00:00+00:00,15.6,82,0.5,22.1
2023-01-01 14:00:00+00:00,15.3,86,0.3,22.0
2023-01-01 15:00:00+00:00,14.9,87,0.0,16.8
2023-01-01 16:00:00+00:00,14.0,90,0.0,14.8
2023-01-01 17:00:00+00:00,13.4,94,0.0,14.7
2023-01-01 18:00:00+00:00,13.3,94,0.0,14.7
2023-01-01 19:00:00+00:00,13.5,93,0.0,15.3
2023-01-01 20:00:00+00:00,13.6,93,0.0,16.7
2023-01-01 21:00:00+00:00,13.6,93,0.0,17.7
2023-01-01 22:00:00+00:00,13.7,94,0.0,18.5
2023-01-01 23:00:00+00:00,13.8,94,0.3,20.1
2023-01-02 00:00:00+00:00,13.7,93,0.3,20.6
2023-01-02 01:00:00+00:00,13.8,92,0.2,20.1
2023-01-02 02:00:00+00:00,13.6,93,0.1,19.5
2023-01-02 03:00:00+00:00,13.5,93,0.0,17.7
2023-01-02 04:00:00+00:00,13.5,92,0.0,18.7
2023-01-02 05:00:00+00:00,13.6,92,0.0,20.2
2023-01-02 06:00:00+00:00,13.5,92,0.0,20.4
2023-01-02 07:00:00+00:00,13.6,93,0.0,20.4
